Name,Location,Contact Number,Email,Specialties,Price Range
DJ Shadow,Udaipur,-9829053289,djshadow@gmail.com,"Wedding events, parties","50,000-1,00,000"
Sound Factory,Jaipur,-9785090964,soundfactory@gmail.com,"Corporate events, parties","30,000-80,000"
DJ Beats,Jodhpur,-8764093864,djbeats@gmail.com,"Wedding events, sangeet","40,000-90,000"
Sound Sensation,Bikaner,-9829054060,soundsensation@gmail.com,"Corporate events, parties","25,000-60,000"
DJ Ash,Ajmer,-9414159918,djash@gmail.com,"Birthday parties, weddings","35,000-75,000"
Sound Vibe,Kota,-9999039812,soundvibe@gmail.com,"Corporate events, parties","20,000-50,000"
DJ Craze,Alwar,-8769773313,djcraze@gmail.com,"Club events, parties","50,000-1,00,000"
Sound Surge,Jaisalmer,-9928986276,soundsurge@gmail.com,"Wedding events, parties","30,000-70,000"
DJ Buzz,Mount Abu,-9829250814,djbuzz@gmail.com,"Corporate events, parties","40,000-80,000"
Sound Squad,Chittorgarh,-9887769449,soundsquad@gmail.com,"Wedding events, sangeet","25,000-60,000"
DJ Fusion,Pushkar,-8696222141,djfusion@gmail.com,"Birthday parties, weddings","35,000-75,000"
Sound Impact,Sikar,-9887844465,soundimpact@gmail.com,"Corporate events, parties","20,000-50,000"
DJ Hype,Dungarpur,-9414915713,djhype@gmail.com,"Club events, parties","50,000-1,00,000"
Sound Storm,Bhilwara,9928628457,soundstorm@gmail.com,"Wedding events, parties","30,000-70,000"
DJ Pulse,Hanumangarh,9829053528,djpulse@gmail.com,"Corporate events, parties","40,000-80,000"
Sound Blaze,Barmer,9887726510,soundblaze@gmail.com,"Wedding events, sangeet","25,000-60,000"
DJ Thrill,Nagaur,9214308730,djthrill@gmail.com,"Birthday parties, weddings","35,000-75,000"
Sound Symphony,Tonk,9001796847,soundsymphony@gmail.com,"Corporate events, parties","20,000-50,000"
DJ Storm,Sawai Madhopur,9784533675,djstorm@gmail.com,"Club events, parties","50,000-1,00,000"
DJ Ravi,Gurgaon,9549671700,djravi@gmail.com,"Bollywood DJ, Punjabi DJ, Corporate Events","Rs. 10,000 - Rs. 25,000"
DJ Hitesh,Faridabad,9928473635,djhitesh@gmail.com,"Wedding DJ, Club DJ, House Parties","Rs. 8,000 - Rs. 20,000"
DJ Raman,Chandigarh,9950304525,djraman@gmail.com,"Corporate Events, Sangeet Functions, Birthday Parties","Rs. 12,000 - Rs. 30,000"
DJ Amit,Hisar,9414064219,djamit@gmail.com,"Punjabi DJ, Wedding DJ, House Parties","Rs. 8,000 - Rs. 18,000"
DJ Ashish,Karnal,9876543214,djashish@gmail.com,"Corporate Events, Sangeet Functions, Birthday Parties","Rs. 10,000 - Rs. 25,000"
DJ Simran,Rohtak,9876543215,djsimran@gmail.com,"Bollywood DJ, Punjabi DJ, House Parties","Rs. 8,000 - Rs. 20,000"
DJ Sumit,Ambala,9876543216,djsumit@gmail.com,"Wedding DJ, Club DJ, Corporate Events","Rs. 12,000 - Rs. 30,000"
DJ Sahil,Yamunanagar,9876543217,djsahil@gmail.com,"Corporate Events, Sangeet Functions, House Parties","Rs. 10,000 - Rs. 25,000"
DJ Rajesh,Kurukshetra,9876543218,djrajesh@gmail.com,"Punjabi DJ, House Parties, Birthday Parties","Rs. 8,000 - Rs. 18,000"
DJ Mohit,Sonipat,9876543219,djmohit@gmail.com,"Wedding DJ, Club DJ, Corporate Events","Rs. 12,000 - Rs. 30,000"
DJ Manish,Panipat,9876543220,djmanish@gmail.com,"Corporate Events, Sangeet Functions, House Parties","Rs. 10,000 - Rs. 25,000"
DJ Aman,Panchkula,9876543221,djaman@gmail.com,"Bollywood DJ, Punjabi DJ, House Parties","Rs. 8,000 - Rs. 20,000"
DJ Vikas,Kaithal,9876543222,djvikas@gmail.com,"Wedding DJ, Club DJ, Corporate Events","Rs. 12,000 - Rs. 30,000"
DJ Anil,Rewari,9876543223,djanil@gmail.com,"Corporate Events, Sangeet Functions, Birthday Parties","Rs. 10,000 - Rs. 25,000"
abcd events,Gurgaon,9876543210,abcdevents@gmail.com,"Wedding DJ, Club DJ, Sound Services","Rs. 15,000+"
events by samir,Faridabad,9812345678,eventsbysamir@gmail.com,"Corporate events, Birthday parties, Sound and lighting","Rs. 10,000+"
karan entertainment,Karnal,9999999999,karanentertainment@gmail.com,"Private parties, Weddings, Music Production","Rs. 12,000+"
Dj Rahul,Panipat,9876543210,djrahulofficial@gmail.com,"Nightclubs, Fashion shows, Music Production","Rs. 20,000+"
The dj Manish,Ambala,9876543210,thedjmanish@gmail.com,"Corporate events, Weddings, Karaoke Nights","Rs. 8,000+"
nk sound and lighting,Rohtak,9999999999,nksoundandlighting@gmail.com,"Concerts, DJ Services, Event Planning","Rs. 25,000+"
amb vents and promotions,Yamunanagar,9876543210,ambeventsandpromotions@gmail.com,"Live shows, Festivals, Corporate Events, Sound Services","Rs. 30,000+"
sound wave,Hisar,9812345678,soundwavesevents@gmail.com,"Weddings, Receptions, Sound and Lighting Services","Rs. 12,000+"
dj vicky,Kurukshetra,9876543210,djvickyofficial@gmail.com,"Private parties, Weddings, Music Production","Rs. 10,000+"
bhagat dj,Sonipat,9999999999,bhagatdjandevents@gmail.com,"Corporate events, Wedding DJ, Sound Services","Rs. 18,000+"
dj kartik,Bhiwani,9876543210,djkartikentertainment@gmail.com,"Clubs, Parties, Concerts","Rs. 15,000+"
dj tarun,Rewari,9876543210,djtarunofficial@gmail.com,"Weddings, Corporate events, Nightclubs","Rs. 20,000+"
dj rohit,Palwal,9812345678,djrohitentertainment@gmail.com,"Parties, Sound and Lighting, Music Production","Rs. 12,000+"
dj rocky,Jind,9999999999,djrockyofficial@gmail.com,"Weddings, Receptions, Nightclubs","Rs. 18,000+"
dj praveen,Fatehabad,9876543210,djparveenentertainment@gmail.com,"Corporate events, DJ Services, Sound and Lighting","Rs. 15,000+"
sound hertz,Panchkula,9876543210,soundhertzdj@gmail.com,"Wedding DJ, Club DJ, Sound Services","Rs. 15,000+"
dj kunal ,Kaithal,9812345678,djkunalentertainment@gmail.com,"Private parties, Weddings, Music Production","Rs. 10,000+"
dj hardik,Sirsa,9999999999,djhardikofficial@gmail.com,"Parties, Nightclubs, Sound and Lighting","Rs. 20,000+"
DJ Rapture,Connaught Place,+91 9876543210,djrapture@gmail.com,"Bollywood remixes, EDM, house, hip-hop","Rs. 20,000-30,000"
DJ King,Karol Bagh,+91 9876543211,djking@gmail.com,"Bollywood, Punjabi, Bhangra, EDM, house","Rs. 15,000-25,000"
DJ Raj,Greater Kailash,+91 9876543212,djraj@gmail.com,"Bollywood, Punjabi, hip-hop, EDM, house","Rs. 18,000-28,000"
Sound Masters,Rohini,+91 9876543213,soundmasters@gmail.com,"Professional sound systems for weddings, corporate events, and concerts","Rs. 40,000-60,000"
DJ Bliss,Saket,+91 9876543214,djbliss@gmail.com,"Bollywood, Punjabi, Bhangra, hip-hop, EDM","Rs. 20,000-30,000"
DJ Maverick,Vasant Kunj,+91 9876543215,djmaverick@gmail.com,"Bollywood remixes, EDM, house, hip-hop","Rs. 25,000-35,000"
Beat Master,Lajpat Nagar,+91 9876543216,beatmaster@gmail.com,"Bollywood, Punjabi, hip-hop, EDM","Rs. 15,000-25,000"
Soundbox,Dwarka,+91 9876543217,soundbox@gmail.com,"Professional sound systems for weddings, corporate events, and concerts","Rs. 50,000-70,000"
DJ Jazzy,Connaught Place,+91 9876543218,djjazzy@gmail.com,"Bollywood remixes, hip-hop, EDM","Rs. 20,000-30,000"
DJ Scoop,Rajouri Garden,+91 9876543219,djscoop@gmail.com,"Bollywood, Punjabi, Bhangra, hip-hop, EDM","Rs. 18,000-28,000"
Sound Vibe,Janakpuri,+91 9876543220,soundvibe@gmail.com,"Professional sound systems for weddings, corporate events, and concerts","Rs. 60,000-80,000"
DJ Navi,Nehru Place,+91 9876543221,djnavi@gmail.com,"Bollywood, Punjabi, hip-hop, EDM","Rs. 20,000-30,000"
Rishi DJ Sound & Light,"Shastri Nagar, Delhi",91-9899258313,rishidjsound@gmail.com,"Bollywood, Punjabi, Hip Hop, EDM","Rs. 20,000 - 40,000"
DJ Manish,"Paharganj, Delhi",91-9811770091,djmanish@gmail.com,"Bollywood, Punjabi, Hip Hop, EDM, Retro","Rs. 15,000 - 30,000"
DJ Pankaj,"Vasant Kunj, Delhi",91-9871155895,djpankaj@gmail.com,"Bollywood, Punjabi, Hip Hop, EDM, Retro","Rs. 25,000 - 50,000"
DJ Simran,"Saket, Delhi",91-9999266617,djsimran@gmail.com,"Bollywood, Punjabi, Hip Hop, EDM","Rs. 20,000 - 40,000"
DJ Gaurav,"Lajpat Nagar, Delhi",91-9811223547,djgaurav@gmail.com,"Bollywood, Punjabi, Hip Hop, EDM","Rs. 18,000 - 35,000"
DJ Vicky,"Rohini, Delhi",91-9953239909,djvicky@gmail.com,"Bollywood, Punjabi, Hip Hop, EDM","Rs. 15,000 - 30,000"
DJ Kunal,"Connaught Place, Delhi",91-9871732525,djkunal@gmail.com,"Bollywood, Punjabi, Hip Hop, EDM","Rs. 20,000 - 40,000"
DJ Rohit,"Mayur Vihar, Delhi",91-9891456565,djrohit@gmail.com,"Bollywood, Punjabi, Hip Hop, EDM","Rs. 18,000 - 35,000"
DJ Rajat,"Dwarka, Delhi",91-9811489220,djrajat@gmail.com,"Bollywood, Punjabi, Hip Hop, EDM","Rs. 25,000 - 50,000"
DJ Ashish,"Karol Bagh, Delhi",91-9811489220,djashish@gmail.com,"Bollywood, Punjabi, Hip Hop, EDM","Rs. 15,000 - 30,000"
Beats By D,Gurgaon,9876543210,beatsbyd@gmail.com,"Bollywood, EDM, Hip-Hop","₹50,000 - ₹1,00,000"
The Sound House,Connaught Place,9812345678,thesoundhouse@gmail.com,"Trance, Techno, House","₹60,000 - ₹1,20,000"
DJ Rahul,Saket,9898765432,djrahul@gmail.com,"Bollywood, Retro, Punjabi","₹40,000 - ₹80,000"
Bass Busters,Vasant Kunj,9876543210,bassbusters@gmail.com,"Electronic, Dubstep, Trap","₹70,000 - ₹1,50,000"
DJ Manish,Rajouri Garden,9812345678,djmanish@gmail.com,"Bollywood, Punjabi, Commercial","₹30,000 - ₹60,000"
The Beats Studio,Greater Kailash,9898765432,thebeatsstudio@gmail.com,"House, Hip-Hop, EDM","₹50,000 - ₹1,00,000"
DJ Vicky,Karol Bagh,9876543210,djvicky@gmail.com,"Bollywood, Retro, House","₹40,000 - ₹80,000"
Beats Per Minute,Preet Vihar,9812345678,beatsperminute@gmail.com,"Techno, Trance, Dubstep","₹60,000 - ₹1,20,000"
DJ Harsh,Defence Colony,9898765432,djharsh@gmail.com,"Bollywood, Punjabi, House","₹30,000 - ₹60,000"
Soundwave DJs,Nehru Place,9876543210,soundwavedjs@gmail.com,"House, EDM, Hip-Hop","₹50,000 - ₹1,00,000"
DJ Sartek,"Hauz Khas, New Delhi",9876543210,sartekdj@gmail.com,"Club events, corporate events, weddings","₹30,000 - ₹50,000"
DJ Nasha,"Greater Kailash, New Delhi",9812345678,nashadj@gmail.com,"Bollywood, commercial, hip-hop, EDM","₹25,000 - ₹40,000"
DJ NYK,"Vasant Vihar, New Delhi",9999999999,djnykofficial@gmail.com,"Bollywood, house, trance, EDM, retro","₹40,000 - ₹1,00,000"
DJ Lemon,"Connaught Place, New Delhi",8888888888,djlemonofficial@gmail.com,"Bollywood remixes, commercial, hip-hop, EDM","₹20,000 - ₹50,000"
DJ Shaan,"Lajpat Nagar, New Delhi",7777777777,djshaanofficial@gmail.com,"Bollywood, EDM, commercial, pop","₹50,000 - ₹1,50,000"
DJ Akhtar,"South Extension, New Delhi",9898989898,djakhtarofficial@gmail.com,"Bollywood, Sufi, old-school remixes","₹40,000 - ₹75,000"
DJ Chetas,"Saket, New Delhi",9876543210,djchetasofficial@gmail.com,"Bollywood remixes, commercial, house","₹50,000 - ₹1,00,000"
DJ Sumit Sethi,"Rajouri Garden, New Delhi",9876543210,djsumitsethi@gmail.com,"Bollywood remixes, commercial, hip-hop, EDM","₹30,000 - ₹70,000"
DJ Shadow Dubai,"Punjabi Bagh, New Delhi",9812345678,djshadowdubai@gmail.com,"Bollywood, commercial, hip-hop, EDM","₹40,000 - ₹1,00,000"
DJ Notorious,"Chanakyapuri, New Delhi",9999999999,djnotorious@gmail.com,"Bollywood remixes, commercial, hip-hop, EDM","₹25,000 - ₹50,000"
DJ Manish,"Janakpuri, Delhi",-9876543119,djmanish@email.com,"Bollywood, Punjabi, Commercial","Rs. 20,000 - Rs. 50,000"
DJ Ravi,"Saket, Delhi",-8765432018,djravi@email.com,"EDM, House, Hip-hop","Rs. 25,000 - Rs. 60,000"
DJ Chetan,"Rajouri Garden, Delhi",-9876543120,djchetan@email.com,"Retro, Disco, Rock","Rs. 30,000 - Rs. 70,000"
DJ Rohit,"Connaught Place, Delhi",-8765432017,djrohit@email.com,"Bollywood, Punjabi, Hip-hop","Rs. 15,000 - Rs. 40,000"
DJ Vicky,"Greater Kailash, Delhi",-9876543121,djvicky@email.com,"House, Techno, Trance","Rs. 35,000 - Rs. 80,000"
DJ Ashish,"Vasant Kunj, Delhi",-8765432016,djashish@email.com,"Retro, Disco, House","Rs. 20,000 - Rs. 50,000"
DJ Sunny,"Dwarka, Delhi",-9876543122,djsunny@email.com,"Bollywood, Punjabi, Commercial","Rs. 25,000 - Rs. 60,000"
DJ Kash,"Hauz Khas, Delhi",+91 9876543210,djkash@gmail.com,"Bollywood, EDM","₹20,000 - ₹50,000"
DJ Abhi,"Karol Bagh, Delhi",+91 9876543211,dj.abhi@gmail.com,"Punjabi, Hip-Hop","₹15,000 - ₹40,000"
DJ Rana,"Connaught Place, Delhi",+91 9876543212,djrana@hotmail.com,"House, Trance","₹25,000 - ₹60,000"
DJ Aditi,"South Extension, Delhi",+91 9876543213,aditi.dj@gmail.com,"Retro, Pop","₹18,000 - ₹45,000"
DJ Sagar,"Janakpuri, Delhi",+91 9876543214,sagar.dj@yahoo.com,"Hip-Hop, EDM","₹20,000 - ₹50,000"
DJ Mohit,"Rohini, Delhi",+91 9876543215,mohit.dj@hotmail.com,"Bollywood, Punjabi","₹15,000 - ₹40,000"
DJ Rajat,"Saket, Delhi",+91 9876543216,rajat.dj@gmail.com,"House, Trance","₹25,000 - ₹60,000"
DJ Sonali,"Vasant Kunj, Delhi",+91 9876543217,sonali.dj@yahoo.com,"Pop, Retro","₹18,000 - ₹45,000"
DJ Aman,"Paharganj, Delhi",+91 9876543218,aman.dj@gmail.com,"EDM, Hip-Hop","₹20,000 - ₹50,000"
DJ Arjun,"Greater Kailash, Delhi",+91 9876543219,arjun.dj@hotmail.com,"Bollywood, Punjabi","₹15,000 - ₹40,000"
